Település;ár;terület (m^2);Szobák;Építés típusa;Futés;Emelet;Ing. állapota;Lift;Megye
Oroszlány;9 990 000 Ft;57;2 + 1;- nem meghatározott -;egyedi;3;jó;NA;Komárom-Esztergom
Pécs;18 900 000 Ft;55;1 + 1;tégla;gáz (cirko);földszint;felújított;nem;Baranya
Budapest XIV ker;24 300 000 Ft;28;1;tégla;gáz (cirko);földszint;felújított;NA;Budapest
Kehidakustány;7 990 000 Ft;39;1 + 1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Zala
Kehidakustány;7 990 000 Ft;36;1 + 1;tégla;elektromos;1;nincs megadva;nincs;Zala
Komárom;14 990 000 Ft;42;1 + 1;panel;távfutés;4;közepes állapotú;nem;Komárom-Esztergom
Táborfalva;14 900 000 Ft;51;2;tégla;nincs megadva;4;nincs megadva;van;Pest
Veszprém;23 800 000 Ft;62;1 + 2;panel;házközponti egyedi méréssel;5;újszeru (kevesebb mint 10éves);igen;Veszprém
Budapest III ker;30 900 000 Ft;50;1 + 2;panel;távfutés;7;jó állapotú;igen;Budapest
Budapest VII ker;21 700 000 Ft;24;1;tégla;gáz (konvektor);földszint;felújított;nem;Budapest
Komárom;19 500 000 Ft;50;2;tégla;távfutés egyedi mérovel;földszint;jó állapotú;nem;Komárom-Esztergom
Budapest XIV ker;24 300 000 Ft;28;1;tégla;gáz (cirko);földszint;felújított;nem;Budapest
Budapest VIII ker;45 900 000 Ft;55;1 + 2;tégla;házközponti futés;nincs megadva;felújított;NA;Budapest
Budapest I ker;27 200 000 Ft;39;2;tégla;távfutés;szuterén;felújított;nem;Budapest
Budapest VI ker;39 800 000 Ft;47;2;tégla;gáz (konvektor);nincs megadva;jó állapotú;NA;Budapest
Budapest VI ker;46 990 000 Ft;55;2;tégla;gáz (cirko);1;felújított;NA;Budapest
Debrecen;22 000 000 Ft;58;1;tégla;gáz - konvektor;3;nincs megadva;nincs;Hajdú-Bihar
Salgótarján;7 300 000 Ft;50;2;nincs megadva;gáz (konvektor);2;jó állapotú;nem;Nógrád
Budapest IV ker;23 500 000 Ft;35;1 + 1;panel;távfutés;nincs megadva;jó állapotú;NA;Budapest
Budapest XIV ker;31 900 000 Ft;53;2;tégla;távfutés;nincs megadva;jó állapotú;NA;Budapest
