Település;ár;terület (m^2);Szobák;Építés típusa;Futés;Emelet;Ing. állapota;Lift;Megye
Budapest III ker;29 700 000 Ft;57;1 + 2;panel;távfutés egyedi mérovel;9;nincs megadva;van;Budapest
Miskolc;18 490 000 Ft;71;3;panel;távfutés;3;nincs megadva;nincs;Borsod-Abaúj-Zemplén
Budapest IV ker;31 900 000 Ft;59;1 + 2;panel;távfutés;nincs megadva;felújított;NA;Budapest
Budapest VII ker;44 000 000 Ft;82;3 + 1;tégla;gáz;2;átlagos;NA;Budapest
Bátonyterenye;8 500 000 Ft;51;2;tégla;gáz kombinált cirkó;2;felújított;nem;Nógrád
Budapest VIII ker;35 000 000 Ft;64;2;tégla;gáz (cirko);1;felújítandó;nem;Budapest
Budapest VIII ker;22 350 000 Ft;25;1;tégla;gáz - konvektor;2;nincs megadva;nincs;Budapest
Budapest XVI ker;28 900 000 Ft;56;1 + 2;csúszózsalusbeton;gáz (konvektor);4;jó állapotú;nem;Budapest
Keszthely;23 500 000 Ft;67;2 + 1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Zala
Budapest VIII ker;56 000 000 Ft;74;3;tégla;elektromos;2;nincs megadva;van;Budapest
Budapest XIV ker;37 700 000 Ft;47;1;tégla;gáz (cirko);3;felújított;NA;Budapest
Budapest VII ker;36 600 000 Ft;41;2;tégla;gáz (konvektor);3;jó állapotú;nem;Budapest
Budapest III ker;80 690 000 Ft;75;3;tégla;fan coil;nincs megadva;nincs megadva;nincs;Budapest
Budapest XIV ker;37 700 000 Ft;47;1;tégla;gáz (cirko);3;felújított;nem;Budapest
Budapest III ker;36 000 000 Ft;49;1 + 1;tégla;gáz (konvektor);1;újszeru (kevesebb mint 10éves);nem;Budapest
Tamási;9 500 000 Ft;53;2;tégla;elektromos;3;nincs megadva;nincs;TolBudapest
Budapest XVIII ker;21 800 000 Ft;35;1 + 1;panel;távfutés;1;nincs megadva;van;Budapest
Miskolc;12 800 000 Ft;60;1 + 2;panel;távfutés egyedi mérovel;6;nincs megadva;van;Borsod-Abaúj-Zemplén
Budapest VIII ker;17 950 000 Ft;23;1;tégla;gáz - konvektor;1;nincs megadva;nincs;Budapest
Szolnok;15 500 000 Ft;48;2;tégla;gáz (konvektor);4;felújított;NA;Jász-Budapestgykun-Szolnok
Budapest XII ker;67 900 000 Ft;90;3;tégla;gáz (cirko);1;nincs megadva;igen;Budapest
Budapest IX ker;54 900 000 Ft;81;2 + 1;tégla;gáz (konvektor);2;felújítandó;NA;Budapest
Budapest III ker;33 000 000 Ft;57;1 + 2;panel;távfutés egyedi mérovel;6;nincs megadva;van;Budapest
Budapest VIII ker;48 900 000 Ft;52;2;tégla;gáz (cirko);4;újszeru;igen;Budapest
Budapest III ker;25 900 000 Ft;51;2;nincs megadva;távfutés;10;jó állapotú;igen;Budapest
Budapest X ker;24 500 000 Ft;38;1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Budapest IX ker;54 900 000 Ft;81;2 + 1;tégla;gáz (konvektor);2;felújítandó;nem;Budapest
Budapest VIII ker;47 990 000 Ft;75;2;tégla;gáz - konvektor;1;nincs megadva;van;Budapest
Budapest IX ker;29 900 000 Ft;37;1;tégla;gáz (konvektor);1;felújított;nem;Budapest
Tatabánya;17 990 000 Ft;55;2;- nem meghatározott -;központi futés;2;jó;NA;Komárom-Esztergom
Budapest XVI ker;33 990 000 Ft;36;1;tégla;házközponti egyedi méréssel;1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VI ker;21 800 000 Ft;21;1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Veszprém;21 800 000 Ft;50;2;panel;távfutés;10 felett;nincs megadva;van;Veszprém
Budapest IV ker;28 900 000 Ft;54;2;csúszózsalusbeton;gáz (konvektor);4;jó állapotú;NA;Budapest
Pécs;37 990 000 Ft;95;4;tégla;gáz (cirko);2;jó állapotú;nem;Baranya
Budapest VIII ker;59 900 000 Ft;100;3 + 1;tégla;gáz (cirko);2;felújítandó;nem;Budapest
Szolnok;15 500 000 Ft;48;2;tégla;gáz (konvektor);4;felújított;nem;Jász-Budapestgykun-Szolnok
Budapest IX ker;74 990 000 Ft;47;3;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Szentendre;69 700 000 Ft;89;3;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Pest
Budapest VIII ker;58 300 000 Ft;53;1 + 2;tégla;elektromos;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XXI ker;27 900 000 Ft;75;3;tégla;házközponti egyedi méréssel;nincs megadva;jó állapotú;NA;Budapest
Budapest III ker;110 000 000 Ft;104;3;tégla;fan coil;2;nincs megadva;nincs;Budapest
Budapest I ker;25 990 000 Ft;29;1;tégla;házközponti futés;magasföldszint;közepes állapotú;nem;Budapest
Budapest VIII ker;35 000 000 Ft;64;2;tégla;gáz (cirko);1;felújítandó;nem;Budapest
Vác;86 900 000 Ft;146;5;tégla;cirkó;1;új építésu;NA;Pest
Biatorbágy;37 400 000 Ft;44;2;tégla;házközponti egyedi méréssel;2;újszeru;igen;Pest
Budapest X ker;36 750 000 Ft;41;2;tégla;házközponti egyedi mérovel;1;nincs megadva;NA;Budapest
Budapest III ker;22 000 000 Ft;32;1;panel;házközponti egyedi méréssel;6;közepes állapotú;igen;Budapest
Budapest III ker;28 500 000 Ft;51;1 + 1;panel;távfutés egyedi mérovel;nincs megadva;nincs megadva;van;Budapest
Budapest XXIII ker;15 960 000 Ft;24;1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Budapest
Budapest VI ker;26 900 000 Ft;23;1;tégla;egyéb;nincs megadva;felújított;NA;Budapest
Budapest XI ker;51 990 000 Ft;49;2;tégla;házközponti egyedi méréssel;1;jó állapotú;igen;Budapest
Gyor;21 800 000 Ft;61;2;tégla;gáz - konvektor;3;nincs megadva;nincs;Gyor-Moson-Sopron
Budapest VI ker;49 900 000 Ft;83;3;tégla;gáz (cirko);nincs megadva;jó állapotú;NA;Budapest
Budapest IV ker;29 800 000 Ft;49;2;tégla;gáz (konvektor);4;újszeru;nem;Budapest
Eger;28 900 000 Ft;64;3;tégla;gáz - konvektor;1;nincs megadva;nincs;Heves
Budapest XIII ker;29 900 000 Ft;55;2 + 1;tégla;gáz - konvektor;nincs megadva;nincs megadva;van;Budapest
Budapest XI ker;83 000 000 Ft;79;3;tégla;házközponti egyedi méréssel;földszint;új építésu;igen;Budapest
Gyor;25 490 000 Ft;58;2 + 1;panel;távfutés egyedi mérovel;3;nincs megadva;nincs;Gyor-Moson-Sopron
Miskolc;15 490 000 Ft;47;1 + 1;tégla;gáz (konvektor);2;közepes állapotú;nem;Borsod-Abaúj-Zemplén
Dunakeszi;22 500 000 Ft;35;1 + 1;panel;távfutés egyedi mérovel;10;jó állapotú;igen;Pest
Budapest XI ker;51 990 000 Ft;49;2;tégla;házközponti egyedi méréssel;1;jó állapotú;igen;Budapest
Budapest X ker;26 500 000 Ft;54;2;panel;távfutés;nincs megadva;felújított;NA;Budapest
Kazincbarcika;7 500 000 Ft;42;1 + 1;panel;távfutés;3;nincs megadva;nincs;Borsod-Abaúj-Zemplén
Budaörs;68 900 000 Ft;112;2 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Pest
Budapest IV ker;28 900 000 Ft;54;2;nincs megadva;gáz (konvektor);4;jó állapotú;nem;Budapest
Szombathely;14 800 000 Ft;43;1 + 1;tégla;gáz (konvektor);2;felújítandó;nem;Vas
Budapest VIII ker;58 300 000 Ft;53;1 + 2;tégla;elektromos;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XIII ker;39 990 000 Ft;68;3;nincs megadva;gáz (konvektor);1;nincs megadva;NA;Budapest
Budapest V ker;62 000 000 Ft;80;2 + 1;nincs megadva;gáz (cirkó);4;nincs megadva;NA;Budapest
Budapest VIII ker;36 500 000 Ft;38;1;nincs megadva;házközponti futés egyedi méréssel;6;nincs megadva;NA;Budapest
Budapest VII ker;42 000 000 Ft;46;1;nincs megadva;gáz (konvektor);3;nincs megadva;NA;Budapest
Budapest VII ker;39 900 000 Ft;50;1 + 1;tégla;gáz;3;jó állapotú;nincs;Budapest
Budapest X ker;13 900 000 Ft;30;1;tégla;gáz (konvektor);földszint;közepes állapotú;nincs;Budapest
Budapest XIV ker;52 000 000 Ft;73;2 + 1;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XI ker;55 900 000 Ft;61;1 + 1;tégla;távfutés egyedi mérovel;2;jó állapotú;nem;Budapest
Budapest XIV ker;49 900 000 Ft;62;2 + 1;tégla;házközponti egyedi méréssel;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest IX ker;24 500 000 Ft;35;1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest VI ker;21 800 000 Ft;22;1;tégla;gáz (konvektor);földszint;felújított;NA;Budapest
Budapest IX ker;32 500 000 Ft;40;1;tégla;gáz (konvektor);magasföldszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest V ker;111 900 000 Ft;95;2 + 1;tégla;házközponti futés;3;közepes állapotú;igen;Budapest
Budapest VI ker;49 900 000 Ft;66;2;tégla;gáz (cirko);1;nincs megadva;NA;Budapest
Budapest XIII ker;69 900 000 Ft;93;2;tégla;gáz;4;felújításra szorul;igen;Budapest
Budapest IX ker;33 900 000 Ft;40;1 + 1;tégla;gáz (konvektor);2;jó állapotú;nem;Budapest
Budapest XI ker;36 500 000 Ft;61;1 + 2;panel;házközponti egyedi méréssel;5;közepes állapotú;igen;Budapest
Budapest V ker;134 900 000 Ft;155;3 + 1;tégla;házközponti futés;3;közepes állapotú;igen;Budapest
Budapest IV ker;28 000 000 Ft;54;2;panel;távfutés egyedi mérovel;4;felújítandó;igen;Budapest
Budapest VIII ker;29 900 000 Ft;50;1 + 1;panel;távfutés;4;jó állapotú;igen;Budapest
Budapest I ker;53 500 000 Ft;63;2;tégla;távfutés egyedi mérovel;nincs megadva;nincs megadva;van;Budapest
Budapest VII ker;79 800 000 Ft;69;2;tégla;elektromos;1;nincs megadva;van;Budapest
Budapest VI ker;41 900 000 Ft;57;2;tégla;házközponti;2;nincs megadva;van;Budapest
Budapest I ker;49 900 000 Ft;50;2;tégla;házközponti futés;földszint;nincs megadva;igen;Budapest
Budapest XI ker;55 900 000 Ft;61;1 + 1;tégla;távfutés egyedi mérovel;2;jó állapotú;NA;Budapest
Budapest XI ker;56 000 000 Ft;65;2;tégla;elektromos;2;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VIII ker;31 500 000 Ft;55;2;panel;házközponti egyedi méréssel;10;felújítandó;igen;Budapest
Budapest VI ker;54 000 000 Ft;71;2;tégla;gáz (cirko);földszint;nincs megadva;NA;Budapest
Budapest III ker;36 900 000 Ft;81;2 + 2;panel;házközponti futés;nincs megadva;jó állapotú;NA;Budapest
Veszprém;24 900 000 Ft;62;1 + 2;panel;távfutés egyedi mérovel;1;jó állapotú;igen;Veszprém
Budapest XI ker;43 900 000 Ft;70;2 + 2;panel;távfutés egyedi mérovel;7;jó állapotú;igen;Budapest
Budapest XIII ker;32 000 000 Ft;57;1 + 2;tégla;gáz;1;jó állapotú;nem;Budapest
Budapest VIII ker;35 490 000 Ft;51;2;panel;távfutés egyedi mérovel;7;nincs megadva;van;Budapest
Budapest IX ker;22 900 000 Ft;28;1;tégla;gáz (konvektor);2;jó állapotú;nem;Budapest
Budapest VIII ker;22 500 000 Ft;39;1 + 1;tégla;gáz (konvektor);nincs megadva;felújítandó;NA;Budapest
Budapest VI ker;62 480 000 Ft;71;2 + 1;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XIV ker;29 000 000 Ft;48;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest VI ker;21 800 000 Ft;22;1;tégla;gáz (konvektor);1;felújított;nem;Budapest
Érd;19 500 000 Ft;31;1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Pest
Budapest VII ker;85 000 000 Ft;71;2 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Budapest VI ker;21 800 000 Ft;22;1;tégla;gáz (konvektor);1;felújított;NA;Budapest
Budapest VI ker;37 500 000 Ft;34;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;igen;Budapest
Budapest XIX ker;31 000 000 Ft;47;2;tégla;gáz (cirko);földszint;jó állapotú;nem;Budapest
Budapest IX ker;25 900 000 Ft;28;1;panel;házközponti egyedi méréssel;4;felújított;igen;Budapest
Budapest XI ker;42 500 000 Ft;51;1 + 1;tégla;gáz (cirko);nincs megadva;felújított;NA;Budapest
Gyor;25 880 000 Ft;46;2;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Gyor-Moson-Sopron
Budapest XIX ker;45 900 000 Ft;95;3 + 1;tégla;házközponti egyedi mérovel;3;nincs megadva;NA;Budapest
Veszprém;26 250 000 Ft;54;2;tégla;gáz (cirko);3;jó állapotú;nem;Veszprém
Budapest XI ker;27 900 000 Ft;49;2;panel;távfutés;nincs megadva;felújítandó;NA;Budapest
Budapest XIII ker;34 500 000 Ft;49;2;panel;központi futés;5;jó;igen;Budapest
Miskolc;9 900 000 Ft;37;1 + 1;panel;távfutés;2;nincs megadva;van;Borsod-Abaúj-Zemplén
Pécs;8 500 000 Ft;36;1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Baranya
Budapest XIV ker;44 850 000 Ft;59;2 + 1;tégla;gáz - cirko;1;nincs megadva;nincs;Budapest
Budapest IX ker;54 800 000 Ft;95;2 + 2;te´gla csu´szo´zsalusbeton egye´b;gáz (konvektor);3;felu´ji´tando´;nem;Budapest
Veszprém;32 900 000 Ft;64;2 + 1;tégla;gáz (cirko);1;felújított;nem;Veszprém
Budapest X ker;28 500 000 Ft;58;1 + 2;panel;távfutés egyedi mérovel;9;nincs megadva;van;Budapest
Budapest IV ker;28 000 000 Ft;54;2;panel;távfutés egyedi mérovel;4;felújítandó;igen;Budapest
Budapest I ker;79 900 000 Ft;84;2;tégla;házközponti;félemelet;nincs megadva;NA;Budapest
Budapest VII ker;42 000 000 Ft;35;1;tégla;elektromos;1;nincs megadva;van;Budapest
Budapest III ker;31 900 000 Ft;52;2;panel;távfutés;2;közepes állapotú;igen;Budapest
Budapest III ker;33 900 000 Ft;49;2;panel;központi futés;3;felújított;igen;Budapest
Budapest II ker;69 900 000 Ft;74;2 + 2;nincs megadva;gáz (cirko);1;nincs megadva;nem;Budapest
Budapest X ker;24 900 000 Ft;50;2;panel;távfutés;4;jó állapotú;igen;Budapest
Nyíregyháza;17 900 000 Ft;62;2 + 1;panel;távfutés egyedi mérovel;6;nincs megadva;van;Szabolcs-Szatmár-Bereg
Budapest II ker;31 800 000 Ft;32;1;tégla;gáz;földszint;átlagos;NA;Budapest
Pécs;19 800 000 Ft;44;2;tégla;gáz (cirko);magasföldszint;felújított;nem;Baranya
Budapest IX ker;24 500 000 Ft;35;1;tégla;gáz (konvektor);földszint;jó állapotú;NA;Budapest
Pécs;18 490 000 Ft;38;1;tégla;gáz (konvektor);magasföldszint;felújított;nem;Baranya
Budapest XV ker;88 000 000 Ft;107;4 + 1;tégla;gáz (cirko);földszint;újszeru (kevessebb mint 10éves);NA;Budapest
Százhalombatta;41 600 000 Ft;78;4;tégla;egyéb;nincs megadva;nincs megadva;NA;Pest
Pécs;25 745 000 Ft;60;2 + 1;tégla;gáz - cirko;1;nincs megadva;nincs;Baranya
Siófok;38 080 000 Ft;38;1 + 1;tégla;nincs megadva;6;kiváló;igen;Somogy
Budapest III ker;28 900 000 Ft;36;1;tégla;gáz;magasföldszint;felújított;NA;Budapest
Budapest III ker;52 500 000 Ft;56;2;tégla;házközponti futés;4;felújított;igen;Budapest
Sopron;36 300 000 Ft;77;3 + 1;nincs megadva;távfutés;tetotér;felújított;nem;Gyor-Moson-Sopron
Budapest XI ker;57 500 000 Ft;76;2 + 1;tégla;távfutés;2;nincs megadva;igen;Budapest
Salgótarján;15 900 000 Ft;57;2;panel;távfutés;5;nincs megadva;van;Nógrád
Budapest III ker;31 900 000 Ft;52;2;panel;távfutés;2;közepes állapotú;igen;Budapest
Budapest IX ker;25 500 000 Ft;27;1;tégla;távfutés;3;felújított;nincs;Budapest
Vác;23 900 000 Ft;46;2;tégla;gáz;magasföldszint;jó;NA;Pest
Nyíregyháza;15 900 000 Ft;54;2;tégla;gáz - konvektor;1;nincs megadva;van;Szabolcs-Szatmár-Bereg
Tatabánya;15 500 000 Ft;55;2;- nem meghatározott -;központi futés;félemelet;jó;NA;Komárom-Esztergom
Budapest VIII ker;35 900 000 Ft;58;1 + 2;panel;távfutés;8;jó állapotú;igen;Budapest
Budapest XIV ker;29 900 000 Ft;35;1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XXI ker;23 500 000 Ft;46;1 + 1;panel;távfutés;3;nincs megadva;van;Budapest
Budapest XIV ker;19 900 000 Ft;52;2;panel;házközponti futés;4;felújítandó;nem;Budapest
Budapest VIII ker;29 500 000 Ft;50;2;panel;távfutés;2;felújított;igen;Budapest
Budapest X ker;19 900 000 Ft;38;1 + 1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Budapest XIII ker;74 900 000 Ft;57;1 + 1;tégla;házközponti egyedi méréssel;6;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VIII ker;29 500 000 Ft;50;2;panel;távfutés;2;felújított;igen;Budapest
Budapest VI ker;174 000 000 Ft;120;1 + 1;tégla;gáz (cirko);4;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XII ker;99 999 999 Ft;76;2;tégla;gáz (cirko);3;jó állapotú;igen;Budapest
Budapest XV ker;34 900 000 Ft;64;2 + 1;panel;távfutés;6;jó állapotú;igen;Budapest
Budapest VIII ker;44 000 000 Ft;48;1 + 1;tégla;házközponti egyedi méréssel;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VII ker;41 600 000 Ft;69;1 + 1;tégla;gáz (konvektor);2;jó állapotú;nem;Budapest
Budapest XV ker;36 700 000 Ft;71;3;panel;házközponti egyedi méréssel;8;jó állapotú;igen;Budapest
Budapest VIII ker;19 200 000 Ft;23;1;tégla;gáz (konvektor);1;jó állapotú;nem;Budapest
Budapest VII ker;30 900 000 Ft;43;1 + 1;tégla;gáz - cirko;2;nincs megadva;nincs;Budapest
Budapest VII ker;72 000 000 Ft;113;3 + 1;tégla;gáz (cirko);nincs megadva;jó állapotú;NA;Budapest
Budapest IX ker;28 900 000 Ft;61;2;panel;távfutés;2;közepes állapotú;igen;Budapest
Budapest XVIII ker;25 500 000 Ft;49;1 + 1;tégla;gáz (konvektor);nincs megadva;jó állapotú;NA;Budapest
Budapest XIII ker;39 900 000 Ft;44;1 + 1;tégla;házközponti futés;8;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest V ker;140 000 000 Ft;97;2 + 1;tégla;gáz (cirko);4;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XI ker;42 900 000 Ft;63;3;nincs megadva;távfutés;7;nincs megadva;NA;Budapest
Budapest XIV ker;45 800 000 Ft;59;1 + 3;tégla;gáz (cirko);3;jó állapotú;nem;Budapest
Veszprém;17 500 000 Ft;53;2;panel;távfutés egyedi mérovel;5;nincs megadva;van;Veszprém
Dunakeszi;30 900 000 Ft;71;2 + 1;panel;távfutés;földszint;jó állapotú;igen;Pest
Budapest X ker;30 900 000 Ft;64;3;panel;távfutés;nincs megadva;jó állapotú;NA;Budapest
Budapest V ker;134 990 000 Ft;98;2;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest X ker;24 900 000 Ft;44;1 + 1;tégla;gáz - konvektor;2;nincs megadva;nincs;Budapest
Budapest VIII ker;34 900 000 Ft;42;2;tégla;elektromos;2;újszeru;NA;Budapest
Pécs;21 490 000 Ft;54;2;panel;távfutés egyedi mérovel;nincs megadva;nincs megadva;nincs;Baranya
Budapest IV ker;29 900 000 Ft;35;1 + 1;panel;távfutés;nincs megadva;felújított;NA;Budapest
Kiskunhalas;14 950 000 Ft;35;2;tégla;gáz - cirko;2;nincs megadva;nincs;Bács-Kiskun
Budapest XIV ker;52 000 000 Ft;61;1 + 2;tégla;házközponti futés;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VIII ker;24 900 000 Ft;31;1;tégla;gáz (konvektor);1;újszeru (kevesebb mint 10éves);nem;Budapest
Szeged;16 900 000 Ft;55;2;tégla;gáz (konvektor);3;közepes állapotú;nem;Csongrád
Budapest IV ker;16 900 000 Ft;29;1;tégla;gáz (konvektor);nincs megadva;jó állapotú;NA;Budapest
Budapest VI ker;86 000 000 Ft;80;3;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest II ker;53 500 000 Ft;55;2;nincs megadva;egyéb;nincs megadva;jó állapotú;NA;Budapest
Budapest XIV ker;51 900 000 Ft;63;1 + 2;tégla;házközponti egyedi méréssel;3;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XIII ker;44 900 000 Ft;72;2 + 1;panel;távfutés;nincs megadva;jó állapotú;NA;Budapest
Budapest XIII ker;76 900 000 Ft;93;3;tégla;házközponti egyedi méréssel;4;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XIV ker;54 990 000 Ft;64;2 + 1;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VI ker;22 900 000 Ft;32;1;tégla;gáz - konvektor;3;nincs megadva;van;Budapest
Salgótarján;7 000 000 Ft;40;1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Nógrád
Budapest VII ker;24 500 000 Ft;24;1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Budapest XIV ker;49 900 000 Ft;62;2 + 1;tégla;házközponti egyedi méréssel;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VII ker;39 900 000 Ft;34;1;tégla;elektromos;1;nincs megadva;van;Budapest
Budapest XIV ker;52 000 000 Ft;73;2 + 1;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XI ker;49 800 000 Ft;60;1 + 1;tégla;távfutés egyedi mérovel;1;nincs megadva;van;Budapest
Budapest VIII ker;34 900 000 Ft;42;2;tégla;elektromos;2;újszeru;nem;Budapest
Budapest VIII ker;32 999 990 Ft;43;2;tégla;gáz (konvektor);1;felújított;NA;Budapest
Bátonyterenye;5 800 000 Ft;53;2;tégla;gáz (konvektor);2;felújítandó;nem;Nógrád
Székesfehérvár;22 990 000 Ft;52;2;nincs megadva;távfutés egyedi méréssel;1;nincs megadva;NA;Fejér
Budapest XIV ker;23 500 000 Ft;32;1;tégla;gáz (konvektor);1;felújítandó;nem;Budapest
Székesfehérvár;22 500 000 Ft;54;2;panel;házközponti futés;8;jó állapotú;igen;Fejér
Budapest XIV ker;29 000 000 Ft;48;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest VIII ker;35 900 000 Ft;58;1 + 2;panel;távfutés;8;jó állapotú;igen;Budapest
Budapest XVIII ker;21 800 000 Ft;35;1 + 1;panel;távfutés;1;közepes állapotú;igen;Budapest
Pécs;13 990 000 Ft;42;2;panel;távfutés egyedi mérovel;9;jó állapotú;igen;Baranya
Budapest VI ker;24 000 000 Ft;33;1;tégla;gáz - konvektor;nincs megadva;nincs megadva;van;Budapest
Sopron;37 900 000 Ft;68;4;csúsztatott zsalus;távfutés;4;nincs megadva;nincs;Gyor-Moson-Sopron
Budapest XIV ker;83 500 000 Ft;67;2 + 1;tégla;házközponti egyedi mérovel;3;nincs megadva;van;Budapest
Budapest XIV ker;29 900 000 Ft;46;1 + 1;panel;házközponti futés;8;jó állapotú;igen;Budapest
Budapest VIII ker;32 999 990 Ft;43;2;tégla;gáz (konvektor);1;felújított;nem;Budapest
Budapest XVIII ker;21 800 000 Ft;35;1 + 1;panel;távfutés;1;közepes állapotú;igen;Budapest
Budapest XIII ker;62 900 000 Ft;68;3;tégla;elektromos;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest IX ker;39 800 000 Ft;45;2 + 1;tégla;gáz - konvektor;4;nincs megadva;van;Budapest
Tatabánya;14 600 000 Ft;49;2;- nem meghatározott -;központi futés;2;jó;NA;Komárom-Esztergom
Budapest XI ker;36 999 000 Ft;54;2 + 1;panel;távfutés egyedi mérovel;2;nincs megadva;van;Budapest
Budapest IX ker;58 000 000 Ft;93;2;tégla;gáz (konvektor);1;közepes állapotú;van;Budapest
Budapest XIII ker;34 500 000 Ft;49;2;panel;távfutés;5;jó állapotú;van;Budapest
Budapest IX ker;29 900 000 Ft;29;1;tégla;egyedi;3;felújított;igen;Budapest
Szolnok;12 900 000 Ft;52;2;panel;távfutés egyedi mérovel;magasföldszint;jó állapotú;nem;Jász-Budapestgykun-Szolnok
Pécs;29 900 000 Ft;92;3;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Baranya
Budapest XVII ker;35 400 000 Ft;74;3;panel;távfutés;4;nincs megadva;nincs;Budapest
Budapest IV ker;22 000 000 Ft;37;1;tégla;gáz (konvektor);nincs megadva;jó állapotú;NA;Budapest
Vecsés;29 900 000 Ft;41;1 + 1;tégla;gáz (cirko);2;újszeru (kevesebb mint 10éves);nem;Pest
Budapest III ker;36 900 000 Ft;68;3;panel;központi futés;1;jó;igen;Budapest
Monor;34 500 000 Ft;66;2 + 1;nincs megadva;gáz (cirko);2;jó állapotú;nem;Pest
Budapest XIV ker;42 500 000 Ft;46;2;tégla;házközponti egyedi mérovel;5;nincs megadva;van;Budapest
Budapest III ker;19 900 000 Ft;23;1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest III ker;26 900 000 Ft;50;2;panel;központi futés;nincs megadva;jó;igen;Budapest
Budapest XVIII ker;22 900 000 Ft;59;1 + 2;panel;központi futés;8;felújított;igen;Budapest
Monor;34 500 000 Ft;66;2 + 1;tégla;gáz (cirko);2;jó állapotú;NA;Pest
Budapest XI ker;49 500 000 Ft;51;1 + 1;tégla;elektromos;3;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XI ker;37 900 000 Ft;36;2;tégla;távfutés;3;nincs megadva;van;Budapest
Budapest II ker;168 900 000 Ft;144;4;tégla;gáz - cirko;nincs megadva;nincs megadva;van;Budapest
Várpalota;24 490 000 Ft;48;2 + 1;tégla;távfutés egyedi mérovel;tetotér;új építésu;nem;Veszprém
Budapest XIII ker;54 190 000 Ft;80;1 + 2;tégla;egyéb;földszint;jó állapotú;nem;Budapest
Szombathely;24 675 000 Ft;39;1 + 1;tégla;egyéb;földszint;új építésu;nem;Vas
Várpalota;23 900 000 Ft;40;1 + 2;tégla;távfutés egyedi mérovel;tetotér;új építésu;nem;Veszprém
Budapest XIII ker;54 190 000 Ft;80;1 + 2;tégla;egyéb;földszint;jó állapotú;NA;Budapest
Szombathely;20 800 000 Ft;64;2 + 1;nincs megadva;távfutés;4;felújított;nem;Vas
Budapest IV ker;22 800 000 Ft;36;1;panel;távfutés;4;közepes állapotú;NA;Budapest
Miskolc;13 900 000 Ft;49;1 + 1;panel;távfutés;3;jó állapotú;nem;Borsod-Abaúj-Zemplén
Budapest III ker;31 000 000 Ft;50;2;panel;központi futés;8;jó;igen;Budapest
Budapest I ker;43 500 000 Ft;43;1 + 1;tégla;gáz - cirko;1;nincs megadva;nincs;Budapest
Budapest VII ker;51 500 000 Ft;87;2 + 1;tégla;gáz - cirko;3;nincs megadva;nincs;Budapest
Budapest XIX ker;31 000 000 Ft;60;1 + 2;panel;távfutés;10;jó állapotú;igen;Budapest
