"","telepules","ar_e_ft","terulet_m_2","szobak","epites_tipusa","futes","emelet","ing_allapota","lift","megye","egesz_szoba","felszobak_szama","regio"
"954","Budapest VII ker",65900,86,"2","tégla","gaz",3,"jó állapotú","1","Budapest",2,0,"Budapest"
"955","Budapest V ker",79900,73,"2","tégla","gaz",3,"újszerű","0","Budapest",2,0,"Budapest"
"956","Budapest XI ker",42000,50,"2","tégla","gaz",3,"felújított","0","Budapest",2,0,"Budapest"
"957","Budapest XIII ker",27700,49,"2","tégla","villany",3,"közepes állapotú","0","Budapest",2,0,"Budapest"
"958","Budapest VII ker",39990,50,"2","tégla","gaz",3,"jó állapotú","0","Budapest",2,0,"Budapest"
"959","Balassagyarmat",8900,49,"2","panel","villany",3,"felújítandó","0","Nógrád",2,0,"Eszak_Magyarorszag"
"960","Diósd",30900,48,"2","panel","gaz",3,"jó állapotú","0","Pest",2,0,"Pest"
"961","Pécs",14900,52,"2","tégla","gaz",3,"felújított","0","Baranya",2,0,"Del_Dunantul"
"962","Budapest VIII ker",42900,62,"2","tégla","gaz",3,"jó állapotú","0","Budapest",2,0,"Budapest"
"963","Budapest III ker",31900,51,"2","panel","kozponti",3,"jó állapotú","1","Budapest",2,0,"Budapest"
"964","Budapest XIV ker",37400,43,"2","tégla","kozponti",3,"újszerű","1","Budapest",2,0,"Budapest"
"965","Budapest XIV ker",37400,43,"2","tégla","kozponti",3,"újszerű","1","Budapest",2,0,"Budapest"
"966","Budapest II ker",59900,70,"2","tégla","gaz",3,"közepes állapotú","0","Budapest",2,0,"Budapest"
"967","Budapest VIII ker",34900,50,"2","egyéb","kozponti",3,"közepes állapotú","1","Budapest",2,0,"Budapest"
"968","Szigetszentmiklós",21500,57,"2","panel","kozponti",3,"felújított","0","Pest",2,0,"Pest"
"969","Miskolc",13500,56,"2","tégla","gaz",3,"közepes állapotú","0","Borsod-Abaúj-Zemplén",2,0,"Eszak_Magyarorszag"
"970","Budapest IX ker",45000,48,"2","tégla","tavfutes",3,"új építésű","1","Budapest",2,0,"Budapest"
"971","Budapest VI ker",49900,47,"2","tégla","villany",3,"felújított","1","Budapest",2,0,"Budapest"
"972","Budapest VI ker",49900,47,"2","tégla","villany",3,"felújított","1","Budapest",2,0,"Budapest"
"973","Budapest VI ker",49900,44,"2","tégla","villany",3,"felújított","1","Budapest",2,0,"Budapest"
"974","Budapest VI ker",49900,44,"2","tégla","villany",3,"felújított","1","Budapest",2,0,"Budapest"
"975","Budapest VII ker",68000,82,"2","tégla","kozponti",3,"jó állapotú","0","Budapest",2,0,"Budapest"
"976","Békéscsaba",17200,59,"2","panel","gaz",3,"jó állapotú","0","Békés",2,0,"Del_Alfold"
"977","Budapest XV ker",27400,44,"2","tégla","gaz",3,"újszerű","1","Budapest",2,0,"Budapest"
"978","Budapest XV ker",27400,44,"2","tégla","gaz",3,"újszerű","1","Budapest",2,0,"Budapest"
"979","Oroszlány",12500,50,"2","panel","kozponti",3,"jó állapotú","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"980","Veszprém",22000,53,"2","tégla","gaz",3,"közepes állapotú","0","Veszprém",2,0,"Kozep_Dunantul"
"981","Balatonföldvár",27530,35,"2","tégla","egyeb",3,"újszerű","1","Somogy",2,0,"Del_Dunantul"
"982","Budapest XIII ker",27700,49,"2","tégla","villany",3,"közepes állapotú","0","Budapest",2,0,"Budapest"
"983","Tatabánya",40200,54,"2","tégla","kozponti",3,"újszerű","1","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"984","Budapest XIV ker",41900,49,"2","tégla","kozponti",3,"újszerű","1","Budapest",2,0,"Budapest"
"985","Budapest VII ker",65900,86,"2","tégla","gaz",3,"jó állapotú","1","Budapest",2,0,"Budapest"
"986","Budapest XV ker",27500,53,"2","panel","tavfutes",3,"jó állapotú","1","Budapest",2,0,"Budapest"
"987","Budapest VII ker",45900,46,"2","tégla","gaz",3,"felújított","1","Budapest",2,0,"Budapest"
"988","Budapest VII ker",45900,46,"2","tégla","gaz",3,"felújított","1","Budapest",2,0,"Budapest"
"989","Budapest VI ker",105900,104,"2","tégla","gaz",3,"jó állapotú","1","Budapest",2,0,"Budapest"
"990","Budapest XIV ker",34500,45,"2","tégla","gaz",3,"felújított","0","Budapest",2,0,"Budapest"
"991","Szombathely",21869.5,41,"2","tégla","kozponti",3,"új építésű","1","Vas",2,0,"Nyugat_Dunantul"
"992","Budapest IX ker",32200,52,"2","tégla","gaz",3,"felújított","0","Budapest",2,0,"Budapest"
"993","Mezokovácsháza",6500,55,"2","panel","gaz",3,"jó állapotú","0","Békés",2,0,"Del_Alfold"
"994","Miskolc",14000,64,"2","tégla","gaz",3,"közepes állapotú","0","Borsod-Abaúj-Zemplén",2,0,"Eszak_Magyarorszag"
"995","Budapest VII ker",43500,56,"2","tégla","gaz",3,"közepes állapotú","0","Budapest",2,0,"Budapest"
"996","Kecskemét",19900,50,"2","panel","tavfutes",3,"jó állapotú","1","Bács-Kiskun",2,0,"Del_Alfold"
"997","Budapest XIV ker",41900,49,"2","tégla","kozponti",3,"újszerű","1","Budapest",2,0,"Budapest"
"998","Balatonfüred",64500,59,"2","tégla","egyeb",3,"új építésű","1","Veszprém",2,0,"Kozep_Dunantul"
"999","Budapest XIV ker",34500,55,"2","panel","kozponti",3,"jó állapotú","0","Budapest",2,0,"Budapest"
"1000","Budapest VI ker",61900,60,"2","tégla","gaz",3,"jó állapotú","1","Budapest",2,0,"Budapest"
"1001","Budapest VIII ker",33900,71,"2","tégla","gaz",3,"újszerű","1","Budapest",2,0,"Budapest"
"1002","Pécs",22990,38,"2","tégla","kozponti",3,"építés alatt","1","Baranya",2,0,"Del_Dunantul"
"1003","Budapest VII ker",55900,70,"2","tégla","gaz",3,"újszerű","1","Budapest",2,0,"Budapest"
"1004","Szeged",41097.7,70,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1005","Szeged",34659.7,58,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1006","Szeged",40709.2,69,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1007","Szeged",41042.2,68,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1008","Szeged",40320.7,66,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1009","Szeged",36630,61,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1010","Szeged",53668.5,90,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1011","Szeged",38045.2,64,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1012","Szeged",39460.5,66,"2","tégla","egyeb",3,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1013","Budapest VIII ker",31900,57,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1014","Budapest V ker",89500,77,"2","tégla","gaz",2,"újszerű","0","Budapest",2,0,"Budapest"
"1015","Budapest VIII ker",33000,62,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1016","Budapest XIV ker",38500,40,"2","tégla","gaz",2,"újszerű","0","Budapest",2,0,"Budapest"
"1017","Tatabánya",22500,50,"2","tégla","tavfutes",2,"felújított","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1018","Budapest XXI ker",31500,49,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1019","Budapest XVIII ker",38900,58,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1020","Budapest XIII ker",42600,58,"2","tégla","tavfutes",2,"újszerű","0","Budapest",2,0,"Budapest"
"1021","Budapest XI ker",56000,65,"2","tégla","villany",2,"újszerű","0","Budapest",2,0,"Budapest"
"1022","Budapest VI ker",48500,45,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1023","Oroszlány",14800,51,"2","tégla","kozponti",2,"felújított","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1024","Budapest VIII ker",33000,62,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1025","Budapest VIII ker",33000,62,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1026","Budapest XIII ker",47500,50,"2","tégla","kozponti",2,"új építésű","1","Budapest",2,0,"Budapest"
"1027","Budapest XVIII ker",31900,51,"2","tégla","kozponti",2,"felújított","0","Budapest",2,0,"Budapest"
"1028","Velence",31822,59,"2","tégla","kozponti",2,"új építésű","1","Fejér",2,0,"Kozep_Dunantul"
"1029","Budakeszi",72900,105,"2","tégla","gaz",2,"jó állapotú","1","Pest",2,0,"Pest"
"1030","Budapest VIII ker",79800,101,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1031","Budapest XI ker",32990,50,"2","panel","tavfutes",2,"felújítandó","0","Budapest",2,0,"Budapest"
"1032","Budapest VIII ker",33000,62,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1033","Vác",23000,54,"2","panel","kozponti",2,"felújítandó","1","Pest",2,0,"Pest"
"1034","Budapest VII ker",47000,68,"2","tégla","gaz",2,"újszerű","0","Budapest",2,0,"Budapest"
"1035","Budapest VI ker",69000,91,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1036","Budapest IX ker",54000,62,"2","tégla","gaz",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1037","Aszód",23500,57,"2","tégla","gaz",2,"jó állapotú","0","Pest",2,0,"Pest"
"1038","Budapest XIII ker",37320,50,"2","tégla","tavfutes",2,"újszerű","1","Budapest",2,0,"Budapest"
"1039","Budapest XXI ker",27990,55,"2","panel","kozponti",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1040","Budapest VIII ker",45000,62,"2","tégla","kozponti",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1041","Budapest X ker",45900,51,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1042","Budapest X ker",45900,51,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1043","Kerepes",26850,48,"2","tégla","kozponti",2,"jó állapotú","0","Pest",2,0,"Pest"
"1044","Kistarcsa",28900,62,"2","panel","kozponti",2,"jó állapotú","0","Pest",2,0,"Pest"
"1045","Budapest XIV ker",36800,53,"2","panel","kozponti",2,"felújított","0","Budapest",2,0,"Budapest"
"1046","Budapest VI ker",39800,47,"2","tégla","gaz",2,"felújítandó","0","Budapest",2,0,"Budapest"
"1047","Budapest XXI ker",25500,54,"2","panel","tavfutes",2,"felújított","1","Budapest",2,0,"Budapest"
"1048","Budapest XXI ker",25500,54,"2","panel","tavfutes",2,"felújított","1","Budapest",2,0,"Budapest"
"1049","Budapest XIII ker",49000,57,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1050","Budapest VIII ker",39490,52,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1051","Budapest VIII ker",39490,52,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1052","Bátonyterenye",8500,51,"2","tégla","gaz",2,"felújított","0","Nógrád",2,0,"Eszak_Magyarorszag"
"1053","Biatorbágy",37400,44,"2","tégla","kozponti",2,"újszerű","1","Pest",2,0,"Pest"
"1054","Budapest XI ker",56000,65,"2","tégla","villany",2,"újszerű","0","Budapest",2,0,"Budapest"
"1055","Budapest III ker",31900,52,"2","panel","tavfutes",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1056","Budapest III ker",31900,52,"2","panel","tavfutes",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1057","Budapest VIII ker",29500,50,"2","panel","tavfutes",2,"felújított","1","Budapest",2,0,"Budapest"
"1058","Budapest VIII ker",29500,50,"2","panel","tavfutes",2,"felújított","1","Budapest",2,0,"Budapest"
"1059","Budapest IX ker",28900,61,"2","panel","tavfutes",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1060","Budapest VIII ker",34900,42,"2","tégla","villany",2,"újszerű","0","Budapest",2,0,"Budapest"
"1061","Bátonyterenye",5800,53,"2","tégla","gaz",2,"felújítandó","0","Nógrád",2,0,"Eszak_Magyarorszag"
"1062","Budapest IX ker",45900,52,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1063","Budapest IX ker",45900,54,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1064","Budapest IX ker",45900,54,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1065","Tatabánya",16990,53,"2","panel","tavfutes",2,"felújítandó","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1066","Budapest XIII ker",29900,47,"2","egyéb","tavfutes",2,"felújított","1","Budapest",2,0,"Budapest"
"1067","Budapest XIII ker",35000,40,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1068","Budapest VIII ker",39900,73,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1069","Budapest VII ker",38900,58,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1070","Miskolc",13400,52,"2","tégla","gaz",2,"jó állapotú","0","Borsod-Abaúj-Zemplén",2,0,"Eszak_Magyarorszag"
"1071","Budapest XX ker",26900,52,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1072","Budapest III ker",49900,50,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1073","Pécs",22500,78,"2","tégla","gaz",2,"felújítandó","0","Baranya",2,0,"Del_Dunantul"
"1074","Budapest IV ker",42000,58,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1075","Budapest XI ker",32990,50,"2","panel","tavfutes",2,"felújítandó","0","Budapest",2,0,"Budapest"
"1076","Budapest XII ker",55500,58,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1077","Budapest XI ker",55500,58,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1078","Budapest VII ker",62000,66,"2","egyéb","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1079","Budapest IX ker",39800,43,"2","tégla","egyeb",2,"új építésű","1","Budapest",2,0,"Budapest"
"1080","Budapest XV ker",29900,54,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1081","Budapest XI ker",53500,56,"2","egyéb","villany",2,"újszerű","0","Budapest",2,0,"Budapest"
"1082","Salgótarján",8000,46,"2","tégla","gaz",2,"újszerű","0","Nógrád",2,0,"Eszak_Magyarorszag"
"1083","Budapest XI ker",52000,57,"2","tégla","kozponti",2,"építés alatt","1","Budapest",2,0,"Budapest"
"1084","Tököl",22500,60,"2","tégla","gaz",2,"jó állapotú","0","Pest",2,0,"Pest"
"1085","Budapest VII ker",43300,62,"2","tégla","gaz",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1086","Budapest XIV ker",35900,47,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1087","Budapest XIV ker",37900,50,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1088","Budapest VII ker",43300,62,"2","tégla","gaz",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1089","Budapest XIII ker",46900,56,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1090","Budapest VIII ker",27500,42,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1091","Budapest VII ker",43300,62,"2","tégla","gaz",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1092","Budapest XIII ker",36900,48,"2","tégla","gaz",2,"újszerű","1","Budapest",2,0,"Budapest"
"1093","Kecskemét",19990,51,"2","panel","tavfutes",2,"felújított","1","Bács-Kiskun",2,0,"Del_Alfold"
"1094","Budapest XIV ker",29450,48,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1095","Budapest XIII ker",36900,48,"2","tégla","gaz",2,"újszerű","1","Budapest",2,0,"Budapest"
"1096","Komárom",17500,50,"2","tégla","villany",2,"közepes állapotú","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1097","Budapest II ker",66900,79,"2","tégla","gaz",2,"felújított","1","Budapest",2,0,"Budapest"
"1098","Budapest VIII ker",29900,66,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1099","Budapest X ker",56900,61,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1100","Budapest X ker",56900,61,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1101","Budapest XI ker",39900,53,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1102","Budapest XII ker",105900,61,"2","egyéb","egyeb",2,"új építésű","1","Budapest",2,0,"Budapest"
"1103","Budapest VIII ker",29900,43,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1104","Vecsés",31000,65,"2","egyéb","gaz",2,"jó állapotú","0","Pest",2,0,"Pest"
"1105","Szeged",25900,67,"2","tégla","gaz",2,"jó állapotú","0","Csongrád",2,0,"Del_Alfold"
"1106","Budapest VI ker",63000,65,"2","tégla","villany",2,"felújított","1","Budapest",2,0,"Budapest"
"1107","Budapest VI ker",63000,65,"2","tégla","villany",2,"felújított","1","Budapest",2,0,"Budapest"
"1108","Budapest XXI ker",27500,50,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1109","Budapest XI ker",47000,50,"2","tégla","kozponti",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1110","Budapest XI ker",34900,50,"2","panel","tavfutes",2,"felújított","0","Budapest",2,0,"Budapest"
"1111","Budapest VIII ker",44280,37,"2","tégla","kozponti",2,"új építésű","1","Budapest",2,0,"Budapest"
"1112","Budapest VIII ker",31900,57,"2","tégla","gaz",2,"felújítandó","0","Budapest",2,0,"Budapest"
"1113","Budapest VI ker",29000,35,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1114","Budapest VIII ker",40650,31,"2","tégla","kozponti",2,"új építésű","1","Budapest",2,0,"Budapest"
"1115","Kecskemét",22500,55,"2","tégla","tavfutes",2,"felújított","0","Bács-Kiskun",2,0,"Del_Alfold"
"1116","Budapest IX ker",44900,43,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1117","Budapest VI ker",137000,71,"2","tégla","gaz",2,"felújított","1","Budapest",2,0,"Budapest"
"1118","Budapest VI ker",137000,71,"2","tégla","gaz",2,"felújított","1","Budapest",2,0,"Budapest"
"1119","Budapest XIII ker",40900,65,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1120","Miskolc",28950.7,61,"2","tégla","egyeb",2,"új építésű","1","Borsod-Abaúj-Zemplén",2,0,"Eszak_Magyarorszag"
"1121","Budapest III ker",45900,55,"2","tégla","kozponti",2,"új építésű","1","Budapest",2,0,"Budapest"
"1122","Vác",28500,53,"2","tégla","tavfutes",2,"felújított","0","Pest",2,0,"Pest"
"1123","Budaörs",50800,54,"2","tégla","gaz",2,"új építésű","0","Pest",2,0,"Pest"
"1124","Budapest VIII ker",29900,43,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1125","Érd",27500,50,"2","panel","tavfutes",2,"jó állapotú","0","Pest",2,0,"Pest"
"1126","Budapest VI ker",39990,50,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1127","Budapest VII ker",35500,64,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1128","Budapest VI ker",74964.7,64,"2","tégla","kozponti",2,"új építésű","1","Budapest",2,0,"Budapest"
"1129","Budapest XI ker",61950,85,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1130","Budapest XIV ker",57700,83,"2","tégla","gaz",2,"felújított","1","Budapest",2,0,"Budapest"
"1131","Budapest XI ker",59000,65,"2","tégla","villany",2,"felújított","0","Budapest",2,0,"Budapest"
"1132","Budaörs",44490,59,"2","tégla","gaz",2,"újszerű","0","Pest",2,0,"Pest"
"1133","Budapest XIV ker",57700,83,"2","tégla","gaz",2,"felújított","1","Budapest",2,0,"Budapest"
"1134","Budapest IX ker",37900,48,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1135","Budapest XXI ker",31500,49,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1136","Budapest XIII ker",79900,81,"2","tégla","gaz",2,"újszerű","0","Budapest",2,0,"Budapest"
"1137","Budapest VII ker",79937,57,"2","tégla","kozponti",2,"újszerű","1","Budapest",2,0,"Budapest"
"1138","Budapest VI ker",74964,63,"2","tégla","kozponti",2,"új építésű","1","Budapest",2,0,"Budapest"
"1139","Budapest XV ker",26900,53,"2","panel","tavfutes",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1140","Komárom",19990,49,"2","tégla","tavfutes",2,"jó állapotú","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1141","Budapest IV ker",35100,54,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1142","Budapest IV ker",35100,54,"2","tégla","gaz",2,"felújítandó","1","Budapest",2,0,"Budapest"
"1143","Budapest IV ker",35100,54,"2","tégla","gaz",2,"felújítandó","1","Budapest",2,0,"Budapest"
"1144","Budapest XIII ker",37500,51,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1145","Budapest VII ker",44900,65,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1146","Budapest VI ker",52900,68,"2","tégla","gaz",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1147","Budapest IX ker",44000,44,"2","tégla","tavfutes",2,"új építésű","1","Budapest",2,0,"Budapest"
"1148","Budapest XII ker",64890,90,"2","tégla","kozponti",2,"felújítandó","1","Budapest",2,0,"Budapest"
"1149","Komárom",17700,50,"2","panel","egyeb",2,"felújított","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1150","Budapest VII ker",55800,56,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1151","Budapest XXI ker",29990,49,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1152","Budapest VI ker",52900,68,"2","tégla","gaz",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1153","Budapest VI ker",52900,68,"2","tégla","gaz",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1154","Miskolc",14600,55,"2","panel","tavfutes",2,"jó állapotú","1","Borsod-Abaúj-Zemplén",2,0,"Eszak_Magyarorszag"
"1155","Budapest XIV ker",42900,50,"2","tégla","egyeb",2,"újszerű","1","Budapest",2,0,"Budapest"
"1156","Budapest XIV ker",42900,50,"2","tégla","egyeb",2,"újszerű","1","Budapest",2,0,"Budapest"
"1157","Budapest XIV ker",42900,50,"2","tégla","egyeb",2,"újszerű","1","Budapest",2,0,"Budapest"
"1158","Budapest VII ker",46500,58,"2","tégla","villany",2,"felújított","0","Budapest",2,0,"Budapest"
"1159","Budapest I ker",44800,58,"2","tégla","kozponti",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1160","Balatonföldvár",26330,35,"2","tégla","egyeb",2,"újszerű","1","Somogy",2,0,"Del_Dunantul"
"1161","Budapest VII ker",27900,42,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1162","Budapest XI ker",41830,47,"2","tégla","kozponti",2,"közepes állapotú","1","Budapest",2,0,"Budapest"
"1163","Budapest IX ker",74990,60,"2","tégla","gaz",2,"újszerű","0","Budapest",2,0,"Budapest"
"1164","Budapest VII ker",39800,61,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1165","Budapest VII ker",46900,50,"2","tégla","villany",2,"felújított","1","Budapest",2,0,"Budapest"
"1166","Budapest VI ker",46900,64,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1167","Miskolc",14900,48,"2","tégla","gaz",2,"felújított","0","Borsod-Abaúj-Zemplén",2,0,"Eszak_Magyarorszag"
"1168","Budapest XIV ker",38500,39,"2","tégla","gaz",2,"újszerű","0","Budapest",2,0,"Budapest"
"1169","Budapest VII ker",39800,61,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1170","Budapest VII ker",54900,53,"2","tégla","gaz",2,"felújított","0","Budapest",2,0,"Budapest"
"1171","Budapest VIII ker",39900,73,"2","tégla","gaz",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1172","Szombathely",21869.5,41,"2","tégla","kozponti",2,"új építésű","1","Vas",2,0,"Nyugat_Dunantul"
"1173","Szombathely",21869.5,41,"2","tégla","kozponti",2,"új építésű","1","Vas",2,0,"Nyugat_Dunantul"
"1174","Szombathely",24375.4,51,"2","tégla","kozponti",2,"új építésű","1","Vas",2,0,"Nyugat_Dunantul"
"1175","Szombathely",21683.2,41,"2","tégla","kozponti",2,"új építésű","1","Vas",2,0,"Nyugat_Dunantul"
"1176","Szombathely",21826.5,41,"2","tégla","kozponti",2,"új építésű","1","Vas",2,0,"Nyugat_Dunantul"
"1177","Budapest VIII ker",47500,80,"2","tégla","gaz",2,"felújítandó","1","Budapest",2,0,"Budapest"
"1178","Oroszlány",12500,50,"2","tégla","kozponti",2,"jó állapotú","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1179","Budapest VII ker",46900,50,"2","tégla","villany",2,"felújított","1","Budapest",2,0,"Budapest"
"1180","Balatonfüred",62000,59,"2","tégla","egyeb",2,"új építésű","1","Veszprém",2,0,"Kozep_Dunantul"
"1181","Budapest VII ker",80000,78,"2","tégla","gaz",2,"jó állapotú","0","Budapest",2,0,"Budapest"
"1182","Budapest VII ker",46900,50,"2","tégla","villany",2,"felújított","1","Budapest",2,0,"Budapest"
"1183","Budapest III ker",149990,84,"2","tégla","egyeb",2,"új építésű","0","Budapest",2,0,"Budapest"
"1184","Budapest III ker",149990,84,"2","tégla","egyeb",2,"új építésű","0","Budapest",2,0,"Budapest"
"1185","Budapest XIII ker",42600,58,"2","tégla","tavfutes",2,"újszerű","0","Budapest",2,0,"Budapest"
"1186","Budapest V ker",89500,77,"2","tégla","gaz",2,"újszerű","0","Budapest",2,0,"Budapest"
"1187","Balatonlelle",49900,75,"2","tégla","kozponti",2,"új építésű","0","Somogy",2,0,"Del_Dunantul"
"1188","Esztergom",18790,54,"2","panel","tavfutes",2,"felújított","0","Komárom-Esztergom",2,0,"Kozep_Dunantul"
"1189","Pécs",14400,54,"2","panel","tavfutes",2,"közepes állapotú","0","Baranya",2,0,"Del_Dunantul"
"1190","Budapest VIII ker",31900,57,"2","tégla","gaz",2,"közepes állapotú","0","Budapest",2,0,"Budapest"
"1191","Budapest I ker",62900,67,"2","tégla","kozponti",2,"jó állapotú","1","Budapest",2,0,"Budapest"
"1192","Szeged",58968.7,81,"2","tégla","egyeb",2,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1193","Szeged",35218.5,63,"2","tégla","egyeb",2,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1194","Szeged",36435.7,60,"2","tégla","egyeb",2,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
"1195","Szeged",41347.5,69,"2","tégla","egyeb",2,"építés alatt","1","Csongrád",2,0,"Del_Alfold"
