Település;ár_EFt;terulet;Szobák;Építéstípusa;Futés;Emelet;Ing. állapota;Lift;Megye;egészszoba;félszobákszáma
Budapest III ker;31000;31;1;panel;távfűtés;NA;NA;nincs;Budapest;1;0
Budapest IV ker;23900;38;1;panel;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest V ker;24990;26;1;tégla;gáz (cirko);NA;NA;van;Budapest;1;0
Budapest IV ker;14200;21;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Bácsalmás;10000;190;1;tégla;gáz (cirko);NA;NA;nincs;Bács-Kiskun;1;0
Budapest VII ker;13250;19;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest VII ker;14750;19;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest VIII ker;22500;28;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest X ker;18500;32;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Szeged;14990;38;1;tégla;gáz (konvektor);NA;NA;NA;Csongrád;1;0
Vác;19900;42;1;tégla;központi;NA;jó állapotú;igen;Pest;1;0
Budapest XII ker;23000;25;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;21500;24;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIII ker;39900;44;1;tégla;gáz (cirko);NA;NA;NA;Budapest;1;0
Budapest VII ker;18900;20;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest IX ker;56900;54;1;tégla;központi;NA;új építésű;igen;Budapest;1;0
Budapest XVI ker;25990;40;1;tégla;gáz;NA;jó állapotú;NA;Budapest;1;0
Keszeg;12700;55;1;tégla;egyéb;NA;felújítandó;NA;Nógrád;1;0
Budapest VII ker;33900;41;1;NA;gáz (cirko);NA;NA;NA;Budapest;1;0
Budapest XIII ker;20900;24;1;tégla;gáz (konvektor);NA;felújított;NA;Budapest;1;0
Budapest VIII ker;17950;23;1;tégla;gáz (konvektor);NA;felújított;NA;Budapest;1;0
Budapest VIII ker;60500;47;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest VIII ker;53800;51;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest VIII ker;36500;40;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest VIII ker;43100;39;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest XI ker;31900;39;1;panel;távfűtés;NA;jó állapotú;igen;Budapest;1;0
Budapest XIII ker;20900;30;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;20900;29;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;22900;41;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;23990;41;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Békéscsaba;13600;38;1;NA;gáz (konvektor);NA;NA;NA;Békés;1;0
Salgótarján;6900;27;1;tégla;gáz (konvektor);NA;NA;nincs;Nógrád;1;0
Miskolc;8400;28;1;panel;távfűtés;NA;felújított;NA;Borsod-Abaúj-Zemplén;1;0
Budapest IV ker;19900;36;1;panel;távfűtés;NA;felújítandó;NA;Budapest;1;0
Budapest XIII ker;30900;35;1;tégla;gáz;NA;felújítandó;NA;Budapest;1;0
Budapest IV ker;21500;39;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Debrecen;36900;51;1;tégla;NA;NA;NA;nincs;Hajdú-Bihar;1;0
Budapest IX ker;23900;27;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XI ker;37900;42;1;tégla;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest VIII ker;23900;38;1;tégla;gáz (konvektor);NA;felújítandó;NA;Budapest;1;0
Budapest XII ker;34900;36;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIX ker;14900;27;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest XV ker;21900;38;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest X ker;21900;29;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;28150;42;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest VIII ker;19500;25;1;tégla;villany;NA;felújított;NA;Budapest;1;0
Budapest XXIII ker;16990;34;1;NA;egyéb;NA;NA;nincs;Budapest;1;0
Budapest XIV ker;37990;47;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;39000;39;1;tégla;gáz (cirko);NA;NA;van;Budapest;1;0
Budapest IV ker;22500;39;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest III ker;23900;27;1;tégla;NA;NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;27900;33;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Aszód;12500;22;1;tégla;gáz (konvektor);NA;NA;nincs;Pest;1;0
Budapest VII ker;26500;27;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XI ker;25300;31;1;NA;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;21800;21;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIII ker;27500;29;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XI ker;29500;41;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest X ker;24500;38;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest XXIII ker;15960;24;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest VI ker;26900;23;1;tégla;egyéb;NA;felújított;NA;Budapest;1;0
Érd;19500;31;1;tégla;gáz (cirko);NA;NA;nincs;Pest;1;0
Pécs;8500;36;1;tégla;gáz (konvektor);NA;NA;nincs;Baranya;1;0
Budapest IV ker;16900;29;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Salgótarján;7000;40;1;tégla;gáz (cirko);NA;NA;nincs;Nógrád;1;0
Budapest VII ker;24500;24;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest VI ker;24000;33;1;tégla;gáz (konvektor);NA;NA;van;Budapest;1;0
Budapest IV ker;22000;37;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;22900;31;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest III ker;20900;25;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XV ker;25900;32;1;tégla;gáz (cirko);NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;25900;31;1;tégla;egyéb;NA;jó állapotú;NA;Budapest;1;0
Budapest IX ker;33900;38;1;tégla;egyéb;NA;felújított;igen;Budapest;1;0
Sopron;17900;28;1;tégla;NA;NA;NA;nincs;Gyor-Moson-Sopron;1;0
Budapest XX ker;21900;37;1;panel;távfűtés;NA;NA;van;Budapest;1;0
Budapest X ker;18900;25;1;tégla;villany;NA;felújított;NA;Budapest;1;0
Szeremle;4900;101;1;tégla;NA;NA;NA;nincs;Bács-Kiskun;1;0
Lábatlan;8500;34;1;tégla;villany;NA;NA;nincs;Komárom-Esztergom;1;0
Budapest VIII ker;25900;41;1;tégla;központi;NA;felújítandó;NA;Budapest;1;0
Miskolc;12450;29;1;tégla;gáz (cirko);NA;NA;nincs;Borsod-Abaúj-Zemplén;1;0
Balmazújváros;15500;29;1;tégla;távfűtés;NA;NA;nincs;Hajdú-Bihar;1;0
Budapest VIII ker;26500;28;1;tégla;villany;NA;jó állapotú;NA;Budapest;1;0
Budapest IX ker;44900;31;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XIII ker;22500;29;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIV ker;18000;31;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest IX ker;27900;19;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest VII ker;23500;20;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest X ker;32900;36;1;tégla;egyéb;NA;felújított;NA;Budapest;1;0
Budapest VI ker;25000;26;1;tégla;központi;NA;NA;van;Budapest;1;0
Budapest VI ker;35000;29;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Kecskemét;14300;28;1;tégla;gáz (konvektor);NA;NA;nincs;Bács-Kiskun;1;0
Budapest IV ker;31900;40;1;panel;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest VIII ker;15290;13;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Békéscsaba;10900;37;1;panel;gáz (cirko);NA;NA;nincs;Békés;1;0
Budapest III ker;37900;39;1;panel;távfűtés;NA;NA;nincs;Budapest;1;0
Budapest III ker;29700;37;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest X ker;15900;37;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest V ker;33500;37;1;NA;NA;NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;32900;39;1;tégla;gáz;NA;jó állapotú;NA;Budapest;1;0
Pápa;9500;23;1;tégla;gáz (konvektor);NA;NA;nincs;Veszprém;1;0
Budapest V ker;44900;52;1;tégla;NA;NA;jó állapotú;NA;Budapest;1;0
Budapest VII ker;28000;31;1;tégla;gáz (konvektor);NA;felújítandó;NA;Budapest;1;0
Budapest XV ker;21400;37;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XX ker;14900;31;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Hatvan;14900;35;1;tégla;gáz (konvektor);NA;NA;nincs;Heves;1;0
Budapest VIII ker;17900;26;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest XIV ker;21500;26;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest VIII ker;20999;24;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Nagykanizsa;8890;39;1;tégla;gáz (konvektor);NA;NA;nincs;Zala;1;0
Budapest VII ker;18000;18;1;tégla;NA;NA;NA;nincs;Budapest;1;0
Budapest VIII ker;19990;28;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIV ker;20990;38;1;tégla;gáz (konvektor);NA;NA;van;Budapest;1;0
Budapest IV ker;17500;39;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XX ker;23400;39;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest IV ker;16900;33;1;tégla;NA;NA;felújítandó;NA;Budapest;1;0
Harkány;8200;26;1;tégla;NA;NA;NA;nincs;Baranya;1;0
Debrecen;16300;51;1;NA;gáz (konvektor);NA;NA;NA;Hajdú-Bihar;1;0
Érd;21900;37;1;tégla;gáz (cirko);NA;NA;nincs;Pest;1;0
Szolnok;11900;36;1;egyéb;távfűtés;NA;NA;nincs;Jász-Budapestgykun-Szolnok;1;0
Gárdony;20500;29;1;tégla;villany;NA;NA;nincs;Fejér;1;0
Körmend;6820;33;1;tégla;NA;NA;NA;nincs;Vas;1;0
Budapest VII ker;28900;19;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest VII ker;28900;34;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Szekszárd;11900;26;1;tégla;távfűtés;NA;NA;nincs;TolBudapest;1;0
Sopron;24500;30;1;tégla;gáz (konvektor);NA;NA;nincs;Gyor-Moson-Sopron;1;0
Budapest XI ker;31200;51;1;tégla;gáz (cirko);NA;felújítandó;NA;Budapest;1;0
Budapest VIII ker;27900;24;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest X ker;19990;36;1;panel;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest IV ker;11500;25;1;tégla;gáz (konvektor);NA;felújítandó;NA;Budapest;1;0
Budapest XIV ker;13990;20;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest VII ker;27900;37;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest IV ker;18900;38;1;tégla;gáz (konvektor);NA;felújítandó;NA;Budapest;1;0
Hegyeshalom;4600;46;1;NA;egyéb;NA;NA;nincs;Gyor-Moson-Sopron;1;0
Budapest VIII ker;34900;33;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest XX ker;17500;31;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIII ker;14900;47;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest IV ker;16900;28;1;tégla;gáz (konvektor);NA;felújítandó;NA;Budapest;1;0
Budapest VII ker;19999.9;23;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIII ker;36700;34;1;tégla;központi;NA;újszerű;NA;Budapest;1;0
Nyíregyháza;10200;43;1;tégla;gáz;NA;felújítandó;NA;Szabolcs-Szatmár-Bereg;1;0
Harkány;18600;41;1;tégla;központi;NA;NA;nincs;Baranya;1;0
Budapest VIII ker;15000;21;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest VII ker;18900;21;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XX ker;17900;33;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;38900;49;1;tégla;gáz (cirko);NA;jó állapotú;NA;Budapest;1;0
Békéscsaba;8990;53;1;tégla;gáz (cirko);NA;NA;nincs;Békés;1;0
Budapest II ker;31500;23;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest IV ker;16900;23;1;tégla;villany;NA;jó állapotú;NA;Budapest;1;0
Budapest XIV ker;21900;31;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Eger;15400;29;1;vegyes;gáz (konvektor);NA;NA;nincs;Heves;1;0
Békéscsaba;8400;24;1;NA;központi;NA;NA;NA;Békés;1;0
Budapest XX ker;12900;21;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest VIII ker;29000;48;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest XVII ker;19500;27;1;panel;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest XX ker;14990;30;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XX ker;14990;29;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Siófok;22000;40;1;tégla;gáz (cirko);NA;újszerű;nem;Somogy;1;0
Budapest XIV ker;23000;32;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest III ker;26800;45;1;tégla;NA;NA;új építésű;NA;Budapest;1;0
Budapest VIII ker;24900;31;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Cegléd;11500;38;1;tégla;gáz (konvektor);NA;NA;nincs;Pest;1;0
Gyor;16630;45;1;tégla;NA;NA;NA;nincs;Gyor-Moson-Sopron;1;0
Szentendre;23490;44;1;NA;gáz (cirko);NA;jó állapotú;nem;Pest;1;0
Sátoraljaújhely;6500;41;1;tégla;egyéb;NA;NA;nincs;Borsod-Abaúj-Zemplén;1;0
Budapest VII ker;36900;38;1;NA;egyéb;NA;NA;NA;Budapest;1;0
Budapest X ker;23759;35;1;NA;központi;NA;NA;NA;Budapest;1;0
Békéscsaba;15200;39;1;NA;gáz (cirko);NA;NA;NA;Békés;1;0
Békéscsaba;18300;41;1;NA;gáz (cirko);NA;NA;NA;Békés;1;0
Budapest II ker;26850;31;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Debrecen;20100;32;1;panel;távfűtés;NA;NA;nincs;Hajdú-Bihar;1;0
Budapest X ker;22000;36;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest V ker;46900;37;1;tégla;központi;NA;NA;van;Budapest;1;0
Budapest VIII ker;11480;28;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XIII ker;27900;42;1;tégla;villany;NA;felújított;NA;Budapest;1;0
Budapest VII ker;13000;13;1;tégla;központi;NA;NA;van;Budapest;1;0
Budapest VII ker;26900;38;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest IX ker;35900;31;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest VI ker;31500;33;1;tégla;gáz (konvektor);NA;NA;van;Budapest;1;0
Nagykanizsa;9300;48;1;tégla;gáz (konvektor);NA;NA;nincs;Zala;1;0
Budapest IX ker;35500;49;1;tégla;gáz (cirko);NA;újszerű;igen;Budapest;1;0
Gárdony;30383;35;1;tégla;egyéb;NA;építés alatt;nem;Fejér;1;0
Budapest III ker;44900;36;1;tégla;központi;NA;NA;van;Budapest;1;0
Budapest VII ker;48500;42;1;tégla;központi;NA;újszerű;NA;Budapest;1;0
Budapest VII ker;21900;18;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest X ker;23200;38;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Kaposvár;10250;21;1;tégla;gáz (cirko);NA;NA;nincs;Somogy;1;0
Békéscsaba;5600;96;1;tégla;egyéb;NA;NA;nincs;Békés;1;0
Budapest XIII ker;27500;28;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XI ker;27400;33;1;tégla;gáz (konvektor);NA;felújított;NA;Budapest;1;0
Budapest X ker;19900;39;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XXIII ker;67500;96;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XIV ker;14890;17;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest VI ker;32900;36;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest VII ker;29900;40;1;tégla;gáz (cirko);NA;jó állapotú;NA;Budapest;1;0
Budapest XIV ker;33000;27;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIV ker;29990;52;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest VIII ker;32900;43;1;tégla;villany;NA;jó állapotú;NA;Budapest;1;0
Budapest XIV ker;19500;27;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest IV ker;36900;45;1;tégla;egyéb;NA;NA;nincs;Budapest;1;0
Érd;11900;25;1;tégla;gáz (cirko);NA;NA;nincs;Pest;1;0
Budapest III ker;27900;42;1;tégla;villany;NA;felújított;NA;Budapest;1;0
Budapest IV ker;33900;41;1;tégla;egyéb;NA;NA;nincs;Budapest;1;0
Balatonfüred;10900;100;1;tégla;egyéb;NA;építés alatt;nem;Veszprém;1;0
Budapest X ker;21200;35;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Kecskemét;14800;38;1;tégla;gáz (cirko);NA;NA;nincs;Bács-Kiskun;1;0
Budapest XIV ker;22900;34;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XIII ker;50000;63;1;tégla;gáz (cirko);NA;NA;van;Budapest;1;0
Siófok;31900;41;1;tégla;villany;NA;NA;nincs;Somogy;1;0
Hévíz;19900;35;1;tégla;gáz (konvektor);NA;NA;nincs;Zala;1;0
Gyöngyös;14500;37;1;tégla;távfűtés;NA;NA;nincs;Heves;1;0
Budapest VIII ker;26500;29;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Fertod;21239.4;31;1;tégla;gáz (cirko);NA;új építésű;nem;Gyor-Moson-Sopron;1;0
Balatonföldvár;11760;24;1;tégla;villany;NA;építés alatt;nem;Somogy;1;0
Budapest XI ker;32900;43;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XX ker;22500;40;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Eger;31900;48;1;tégla;gáz (konvektor);NA;NA;nincs;Heves;1;0
Budapest VII ker;27500;29;1;tégla;egyéb;NA;NA;nincs;Budapest;1;0
Budapest XI ker;28900;40;1;tégla;gáz (konvektor);NA;NA;van;Budapest;1;0
Békéscsaba;4990;29;1;tégla;gáz (konvektor);NA;NA;nincs;Békés;1;0
Makó;7500;39;1;NA;gáz (cirko);NA;NA;nincs;Csongrád;1;0
Nyíregyháza;11500;43;1;vegyes;gáz;NA;közepes állapotú;NA;Szabolcs-Szatmár-Bereg;1;0
Budapest XIV ker;23990;33;1;panel;távfűtés;13;jó állapotú;igen;Budapest;1;0
Budapest III ker;28250;31;1;panel;távfűtés;10;NA;van;Budapest;1;0
Budapest III ker;22500;32;1;panel;távfűtés;10;NA;van;Budapest;1;0
Miskolc;11700;28;1;panel;távfűtés;10;felújított;igen;Borsod-Abaúj-Zemplén;1;0
Budapest XI ker;31900;31;1;egyéb;távfűtés;10;NA;van;Budapest;1;0
Budapest III ker;22900;31;1;panel;távfűtés;9;felújított;igen;Budapest;1;0
Budapest III ker;22900;31;1;panel;távfűtés;9;felújított;igen;Budapest;1;0
Miskolc;9200;28;1;panel;távfűtés;9;NA;van;Borsod-Abaúj-Zemplén;1;0
Miskolc;8300;26;1;panel;távfűtés;9;NA;van;Borsod-Abaúj-Zemplén;1;0
Budapest VIII ker;19200;27;1;panel;központi;8;közepes állapotú;igen;Budapest;1;0
Budapest VIII ker;19900;27;1;panel;távfűtés;8;felújítandó;igen;Budapest;1;0
Budapest VIII ker;19900;27;1;panel;távfűtés;8;felújítandó;igen;Budapest;1;0
Budapest VIII ker;20900;27;1;panel;távfűtés;8;közepes állapotú;igen;Budapest;1;0
Budapest IV ker;23200;37;1;panel;távfűtés;8;jó állapotú;igen;Budapest;1;0
Budapest IV ker;23200;37;1;panel;távfűtés;8;jó állapotú;igen;Budapest;1;0
Budapest VIII ker;20900;27;1;tégla;távfűtés;8;NA;van;Budapest;1;0
Debrecen;47777.4;40;1;tégla;egyéb;8;építés alatt;igen;Hajdú-Bihar;1;0
Budapest XXI ker;21900;35;1;panel;távfűtés;8;jó állapotú;igen;Budapest;1;0
Budapest XXI ker;21900;35;1;panel;távfűtés;8;jó állapotú;igen;Budapest;1;0
Tatabánya;10400;35;1;NA;központi;8;jó állapotú;NA;Komárom-Esztergom;1;0
Budapest III ker;24900;32;1;panel;központi;7;felújított;igen;Budapest;1;0
Budapest XI ker;40500;41;1;NA;távfűtés;7;NA;NA;Budapest;1;0
Budapest XI ker;40500;41;1;tégla;távfűtés;7;NA;van;Budapest;1;0
Budapest IX ker;26000;36;1;panel;távfűtés;7;jó állapotú;igen;Budapest;1;0
Budapest IX ker;26000;36;1;panel;távfűtés;7;jó állapotú;igen;Budapest;1;0
Budapest III ker;22000;32;1;panel;központi;6;közepes állapotú;igen;Budapest;1;0
Budapest III ker;22000;32;1;panel;központi;6;közepes állapotú;igen;Budapest;1;0
Budapest VIII ker;36500;38;1;NA;központi;6;NA;NA;Budapest;1;0
Budapest XIII ker;27900;36;1;tégla;távfűtés;6;közepes állapotú;igen;Budapest;1;0
Budapest XIII ker;27900;36;1;panel;távfűtés;6;NA;van;Budapest;1;0
Budapest XIII ker;27900;36;1;tégla;távfűtés;6;közepes állapotú;igen;Budapest;1;0
Budapest XIII ker;27900;36;1;tégla;távfűtés;6;közepes állapotú;igen;Budapest;1;0
Budapest XIII ker;34000;36;1;tégla;távfűtés;6;NA;van;Budapest;1;0
Budapest III ker;31000;36;1;tégla;központi;6;felújított;igen;Budapest;1;0
Debrecen;27700;33;1;panel;távfűtés;6;NA;van;Hajdú-Bihar;1;0
Budapest X ker;21900;38;1;panel;távfűtés;6;NA;van;Budapest;1;0
Budapest XIII ker;31900;28;1;tégla;központi;5;jó állapotú;igen;Budapest;1;0
Budapest XVII ker;21900;35;1;tégla;központi;5;jó állapotú;NA;Budapest;1;0
Budapest XVII ker;21900;34;1;tégla;központi;5;újszerű;NA;Budapest;1;0
Budapest VIII ker;28900;28;1;tégla;központi;5;újszerű;igen;Budapest;1;0
Budapest X ker;23500;31;1;NA;központi;5;jó állapotú;igen;Budapest;1;0
Budapest XIII ker;35000;37;1;tégla;központi;5;közepes állapotú;igen;Budapest;1;0
Gyor;17990;32;1;tégla;egyéb;5;NA;nincs;Gyor-Moson-Sopron;1;0
Budapest VIII ker;34600;41;1;tégla;központi;5;közepes állapotú;igen;Budapest;1;0
Budapest IX ker;35500;49;1;tégla;gáz (cirko);5;újszerű;igen;Budapest;1;0
Budapest IX ker;36900;49;1;tégla;gáz (cirko);5;NA;van;Budapest;1;0
Budapest IX ker;35500;49;1;tégla;gáz (cirko);5;újszerű;igen;Budapest;1;0
Budapest VIII ker;21900;33;1;panel;távfűtés;5;felújítandó;igen;Budapest;1;0
Budapest VI ker;37900;44;1;tégla;központi;5;felújítandó;igen;Budapest;1;0
Budapest VI ker;37900;44;1;tégla;központi;5;felújítandó;igen;Budapest;1;0
Budapest VII ker;53000;27;1;tégla;központi;5;felújított;igen;Budapest;1;0
Debrecen;17500;31;1;panel;távfűtés;5;NA;NA;Hajdú-Bihar;1;0
Debrecen;12900;18;1;panel;távfűtés;4;jó állapotú;nem;Hajdú-Bihar;1;0
Budapest VI ker;32990;40;1;tégla;gáz (konvektor);4;jó állapotú;igen;Budapest;1;0
Budapest XI ker;26500;33;1;tégla;gáz (konvektor);4;jó állapotú;nem;Budapest;1;0
Budapest XIV ker;30000;34;1;tégla;gáz (cirko);4;jó állapotú;igen;Budapest;1;0
Budapest V ker;47500;43;1;tégla;központi;4;jó állapotú;igen;Budapest;1;0
Budapest III ker;38800;31;1;tégla;gáz (cirko);4;NA;van;Budapest;1;0
Vác;24900;43;1;tégla;gáz (cirko);4;jó állapotú;igen;Pest;1;0
Budapest IX ker;56900;54;1;tégla;központi;4;új építésű;igen;Budapest;1;0
Budapest XIV ker;30000;34;1;tégla;gáz (cirko);4;jó állapotú;igen;Budapest;1;0
Budapest V ker;36500;33;1;tégla;központi;4;közepes állapotú;igen;Budapest;1;0
Budapest XIII ker;31900;45;1;tégla;gáz (konvektor);4;közepes állapotú;igen;Budapest;1;0
Budapest XIV ker;30000;34;1;tégla;gáz (cirko);4;jó állapotú;igen;Budapest;1;0
Budapest XIII ker;27300;33;1;tégla;központi;4;NA;van;Budapest;1;0
Budapest XIII ker;31500;33;1;tégla;központi;4;felújított;igen;Budapest;1;0
Budapest XIII ker;31500;33;1;tégla;központi;4;felújított;igen;Budapest;1;0
Szekszárd;11900;34;1;panel;távfűtés;4;NA;nincs;TolBudapest;1;0
Budapest XIII ker;34800;42;1;tégla;távfűtés;4;NA;van;Budapest;1;0
Budapest IX ker;35900;33;1;tégla;gáz (konvektor);4;jó állapotú;nem;Budapest;1;0
Budapest IX ker;25900;28;1;panel;központi;4;felújított;igen;Budapest;1;0
Budapest IV ker;22800;36;1;panel;távfűtés;4;közepes állapotú;NA;Budapest;1;0
Miskolc;8400;28;1;panel;távfűtés;4;jó állapotú;nem;Borsod-Abaúj-Zemplén;1;0
Budapest IV ker;22800;36;1;panel;távfűtés;4;közepes állapotú;nem;Budapest;1;0
Budapest VIII ker;21200;41;1;tégla;gáz (cirko);4;NA;nincs;Budapest;1;0
Budapest III ker;34500;38;1;tégla;gáz (cirko);4;NA;nincs;Budapest;1;0
Budapest IX ker;31000;32;1;tégla;központi;4;NA;van;Budapest;1;0
Budapest XIII ker;20990;27;1;panel;távfűtés;4;közepes állapotú;nem;Budapest;1;0
Budapest XIII ker;20990;27;1;panel;távfűtés;4;közepes állapotú;NA;Budapest;1;0
Budapest VIII ker;26500;36;1;tégla;gáz (konvektor);4;NA;nincs;Budapest;1;0
Tatabánya;14500;42;1;egyéb;távfűtés;4;NA;nincs;Komárom-Esztergom;1;0
Budapest XIII ker;31900;45;1;tégla;gáz (konvektor);4;közepes állapotú;igen;Budapest;1;0
